   20     0 [  4]         sqllang!CSQLSatelliteCommunication::~CSQLSatelliteCommunication
   40   184 [  3]       sqllang!CServerCargoContext::`scalar deleting destructor'
  163  3637 [  2]     sqllang!CUDXR_ExternalScript::ShutdownService
   10     0 [  3]       sqllang!RefCountImpl<CSQLSatelliteConnection>::Release
  169  3647 [  2]     sqllang!CUDXR_ExternalScript::ShutdownService
   13     0 [  3]       sqllang!RefCountImpl<CSQLSatelliteConnection>::Release
   37     0 [  4]         sqllang!CSQLSatelliteConnection::CleanMessages
    3     0 [  4]         sqllang!CSQLSatelliteConnection::FreePackets
   19    40 [  3]       sqllang!RefCountImpl<CSQLSatelliteConnection>::Release
   34     0 [  4]         sqllang!CSQLSatelliteConnection::`vector deleting destructor'
   24    74 [  3]       sqllang!RefCountImpl<CSQLSatelliteConnection>::Release
  173  3745 [  2]     sqllang!CUDXR_ExternalScript::ShutdownService
   19     0 [  3]       sqllang!CAutoRefc<CSatelliteProxy>::operator=
    2     0 [  4]         sqldk!SystemThread::GetCurrentId
   35     2 [  3]       sqllang!CAutoRefc<CSatelliteProxy>::operator=
   38     0 [  4]         sqllang!CSatelliteProxy::`scalar deleting destructor'
   44    40 [  3]       sqllang!CAutoRefc<CSatelliteProxy>::operator=
  176  3829 [  2]     sqllang!CUDXR_ExternalScript::ShutdownService
    6     0 [  3]       sqllang!_security_check_cookie
  186  3835 [  2]     sqllang!CUDXR_ExternalScript::ShutdownService
    7  4022 [  1]   sqlmin!CUDXR_ExternalScriptCleanup::Close
   29  4029 [  0] sqlmin!CQueryExecContext::FinalCleanup
