  146    69 [  7]               sqldk!SOS_Scheduler::UpdateWaitTimeStats
   10     0 [  8]                 sqldk!XeSosPkg::wait_info::Publish
    2     0 [  9]                   sqldk!XE_Engine::GetCurrentSessionCtxtRecord
    3     0 [ 10]                     sqldk!XE_Tls::GetRecord
    1     0 [ 11]                       KERNEL32!TlsGetValueStub
    7     0 [ 11]                       KERNEL32!TlsGetValue
    7     8 [ 10]                     sqldk!XE_Tls::GetRecord
    7    15 [  9]                   sqldk!XE_Engine::GetCurrentSessionCtxtRecord
   61    22 [  8]                 sqldk!XeSosPkg::wait_info::Publish
    8     0 [  9]                   sqldk!XE_Engine::EventFireBegin
    3     0 [ 10]                     sqldk!XE_Tls::GetRecord
    1     0 [ 11]                       KERNEL32!TlsGetValueStub
    7     0 [ 11]                       KERNEL32!TlsGetValue
    7     8 [ 10]                     sqldk!XE_Tls::GetRecord
   19    15 [  9]                   sqldk!XE_Engine::EventFireBegin
    1     0 [ 10]                     KERNEL32!TlsGetValueStub
    7     0 [ 10]                     KERNEL32!TlsGetValue
   25    23 [  9]                   sqldk!XE_Engine::EventFireBegin
    1     0 [ 10]                     KERNEL32!TlsGetValueStub
    7     0 [ 10]                     KERNEL32!TlsGetValue
   53    31 [  9]                   sqldk!XE_Engine::EventFireBegin
   10     0 [ 10]                     sqldk!XE_AndExpr::Execute
   19     0 [ 11]                       sqldk!XE_DAttrExpr::Execute
   11     0 [ 12]                         sqldk!XE_Xml<XE_Metadata,XE_StandardFormatter,XE_SerializedEvent<XE_Metadata,XE_VersionConfig> >::WriteCDATAFilter<char>
    1     0 [ 13]                           sqldk!memcpy
    9     0 [ 13]                           MSVCR120!memcpy
    4     0 [ 13]                           MSVCR120!MoveSmall
   19    14 [ 12]                         sqldk!XE_Xml<XE_Metadata,XE_StandardFormatter,XE_SerializedEvent<XE_Metadata,XE_VersionConfig> >::WriteCDATAFilter<char>
   26    33 [ 11]                       sqldk!XE_DAttrExpr::Execute
    5     0 [ 12]                         sqldk!XE_StreamCompare<char,XEPackage0::StringCompare<char,2>,2>::Compare
   29    38 [ 11]                       sqldk!XE_DAttrExpr::Execute
    6     0 [ 12]                         sqldk!_security_check_cookie
   33    44 [ 11]                       sqldk!XE_DAttrExpr::Execute
   17    77 [ 10]                     sqldk!XE_AndExpr::Execute
   10     0 [ 11]                       sqldk!XE_OrExpr::Execute
   10     0 [ 12]                         sqldk!XE_AndExpr::Execute
   19     0 [ 13]                           sqldk!XE_DAttrExpr::Execute
   11     0 [ 14]                             sqldk!XE_Xml<XE_Metadata,XE_StandardFormatter,XE_SerializedEvent<XE_Metadata,XE_VersionConfig> >::WriteCDATAFilter<char>
    1     0 [ 15]                               sqldk!memcpy
    9     0 [ 15]                               MSVCR120!memcpy
    4     0 [ 15]                               MSVCR120!MoveSmall
   19    14 [ 14]                             sqldk!XE_Xml<XE_Metadata,XE_StandardFormatter,XE_SerializedEvent<XE_Metadata,XE_VersionConfig> >::WriteCDATAFilter<char>
   26    33 [ 13]                           sqldk!XE_DAttrExpr::Execute
    5     0 [ 14]                             sqldk!XE_StreamCompare<char,XEPackage0::StringCompare<char,2>,2>::Compare
   29    38 [ 13]                           sqldk!XE_DAttrExpr::Execute
    6     0 [ 14]                             sqldk!_security_check_cookie
   33    44 [ 13]                           sqldk!XE_DAttrExpr::Execute
   17    77 [ 12]                         sqldk!XE_AndExpr::Execute
   10     0 [ 13]                           sqldk!XE_OrExpr::Execute
   10     0 [ 14]                             sqldk!XE_OrExpr::Execute
   10     0 [ 15]                               sqldk!XE_OrExpr::Execute
   10     0 [ 16]                                 sqldk!XE_OrExpr::Execute
