   19     0 [  6]             sqllang!ExcHandler::~ExcHandler
   53   201 [  5]           sqllang!CErrorReportingManager::SendErrorToUserWithTracing
    1     0 [  6]             KERNEL32!TlsGetValueStub
    7     0 [  6]             KERNEL32!TlsGetValue
   70   209 [  5]           sqllang!CErrorReportingManager::SendErrorToUserWithTracing
  108  4975 [  4]         sqllang!CErrorReportingManager::SendErrorToUser
   16     0 [  5]           sqldk!CMemObj::Free
   52     0 [  6]             sqldk!TVarPageMgr<0>::Release
   19    52 [  5]           sqldk!CMemObj::Free
  111  5046 [  4]         sqllang!CErrorReportingManager::SendErrorToUser
    9     0 [  5]           sqllang!ExcHandler::~ExcHandler
    1     0 [  6]             KERNEL32!TlsGetValueStub
    7     0 [  6]             KERNEL32!TlsGetValue
   19     8 [  5]           sqllang!ExcHandler::~ExcHandler
  115  5073 [  4]         sqllang!CErrorReportingManager::SendErrorToUser
    1     0 [  5]           KERNEL32!TlsGetValueStub
    7     0 [  5]           KERNEL32!TlsGetValue
  131  5081 [  4]         sqllang!CErrorReportingManager::SendErrorToUser
  700 11364 [  3]       sqllang!CErrorReportingManager::CwchFormatAndPrint
   22     0 [  4]         sqllang!CAutoRg<unsigned short>::~CAutoRg<unsigned short>
   16     0 [  4]         sqldk!CMemObj::Free
   13     0 [  5]           sqldk!TVarPageMgr<0>::Release
   31     0 [  6]             sqldk!CVariableInfo::PviRelease
   48    31 [  5]           sqldk!TVarPageMgr<0>::Release
    4     0 [  5]           sqldk!IMemObj::ReleasePages
    5     0 [  5]           sqldk!MemoryClerkInternal::FreePages
   46     0 [  6]             sqldk!MemoryClerkInternal::FreePagesInline
   17     0 [  6]             sqldk!PageAllocator::RecordPageFreeEvent
    7    63 [  5]           sqldk!MemoryClerkInternal::FreePages
   19   153 [  4]         sqldk!CMemObj::Free
  703 11558 [  3]       sqllang!CErrorReportingManager::CwchFormatAndPrint
    9     0 [  4]         sqllang!ExcHandler::~ExcHandler
    1     0 [  5]           KERNEL32!TlsGetValueStub
    7     0 [  5]           KERNEL32!TlsGetValue
   19     8 [  4]         sqllang!ExcHandler::~ExcHandler
  706 11585 [  3]       sqllang!CErrorReportingManager::CwchFormatAndPrint
   66     0 [  4]         sqllang!ErrorReportedAutoPublish::Publish
    4     0 [  5]           sqllang!SOS_Task::GetPmo
    1     0 [  6]             KERNEL32!TlsGetValueStub
    7     0 [  6]             KERNEL32!TlsGetValue
   12     8 [  5]           sqllang!SOS_Task::GetPmo
   73    20 [  4]         sqllang!ErrorReportedAutoPublish::Publish
   13     0 [  5]           sqldk!CMemObj::Alloc
   20     0 [  6]             sqldk!CSlotPageMgr::PbAllocate
   19    20 [  5]           sqldk!CMemObj::Alloc
  149     0 [  6]             sqldk!TVarPageMgr<0>::PbAllocate
   26   169 [  5]           sqldk!CMemObj::Alloc
   78   215 [  4]         sqllang!ErrorReportedAutoPublish::Publish
   14     0 [  5]           sqllang!CAutoP<unsigned short>::operator=
  102   229 [  4]         sqllang!ErrorReportedAutoPublish::Publish
    9     0 [  5]           sqlTsEs!getmsglangid
  115   238 [  4]         sqllang!ErrorReportedAutoPublish::Publish
   22     0 [  5]           sqllang!CwchCallFormatMessage
    2     0 [  6]             sqldk!GetErrorReportingManager
   25     2 [  5]           sqllang!CwchCallFormatMessage
    4     0 [  6]             sqllang!CErrorReportingManager::IsReadyToLoadStringResources
   28     6 [  5]           sqllang!CwchCallFormatMessage
    2     0 [  6]             sqldk!GetErrorReportingManager
   33     8 [  5]           sqllang!CwchCallFormatMessage
   46     0 [  6]             sqllang!CErrorReportingManager::HGetStringResource
   39    54 [  5]           sqllang!CwchCallFormatMessage
    1     0 [  6]             KERNEL32!TlsGetValueStub
    7     0 [  6]             KERNEL32!TlsGetValue
   51    62 [  5]           sqllang!CwchCallFormatMessage
   26     0 [  6]             sqldk!CMemObj::Alloc
   64    88 [  5]           sqllang!CwchCallFormatMessage
    1     0 [  6]             KERNEL32!FormatMessageWStub
   15     0 [  6]             KERNELBASE!FormatMessageW
  771   104 [  5]           sqllang!CwchCallFormatMessage
    2     0 [  6]             sqldk!GetDefaultLocale
  774   106 [  5]           sqllang!CwchCallFormatMessage
    2     0 [  6]             MSVCR120!_iswdigit_l
   19     0 [  6]             MSVCR120!iswctype
  802   127 [  5]           sqllang!CwchCallFormatMessage
    2     0 [  6]             sqldk!GetDefaultLocale
  805   129 [  5]           sqllang!CwchCallFormatMessage
    2     0 [  6]             MSVCR120!_iswdigit_l
   19     0 [  6]             MSVCR120!iswctype
  906   150 [  5]           sqllang!CwchCallFormatMessage
    2     0 [  6]             sqldk!GetDefaultLocale
  909   152 [  5]           sqllang!CwchCallFormatMessage
    2     0 [  6]             MSVCR120!_iswdigit_l
   19     0 [  6]             MSVCR120!iswctype
 4163   173 [  5]           sqllang!CwchCallFormatMessage
   19     0 [  6]             sqldk!CMemObj::Free
 4174   192 [  5]           sqllang!CwchCallFormatMessage
  125  4604 [  4]         sqllang!ErrorReportedAutoPublish::Publish
   10     0 [  5]           sqllang!SOS_AutoAllowNonyield::SOS_AutoAllowNonyield
    1     0 [  6]             KERNEL32!TlsGetValueStub
    7     0 [  6]             KERNEL32!TlsGetValue
   18     8 [  5]           sqllang!SOS_AutoAllowNonyield::SOS_AutoAllowNonyield
    1     0 [  6]             KERNEL32!TlsGetValueStub
    7     0 [  6]             KERNEL32!TlsGetValue
   34    16 [  5]           sqllang!SOS_AutoAllowNonyield::SOS_AutoAllowNonyield
    1     0 [  6]             KERNEL32!QueryPerformanceCounterStub
   24     0 [  6]             ntdll!RtlQueryPerformanceCounter
   45    41 [  5]           sqllang!SOS_AutoAllowNonyield::SOS_AutoAllowNonyield
  128  4690 [  4]         sqllang!ErrorReportedAutoPublish::Publish
   10     0 [  5]           sqllang!XeSqlPkg::error_reported::Publish
    7     0 [  6]             sqldk!XE_Engine::GetCurrentSessionCtxtRecord
   74     7 [  5]           sqllang!XeSqlPkg::error_reported::Publish
   77     0 [  6]             sqldk!XE_Engine::EventFireBegin
   89    84 [  5]           sqllang!XeSqlPkg::error_reported::Publish
   28     0 [  6]             sqldk!XE_Engine::EventFireEnd
  156   112 [  5]           sqllang!XeSqlPkg::error_reported::Publish
   69     0 [  6]             sqldk!XE_Engine::EventFireBegin
  192   181 [  5]           sqllang!XeSqlPkg::error_reported::Publish
  131  5063 [  4]         sqllang!ErrorReportedAutoPublish::Publish
    7     0 [  5]           sqldk!SOS_AutoAllowNonyield::~SOS_AutoAllowNonyield
    1     0 [  6]             KERNEL32!TlsGetValueStub
    7     0 [  6]             KERNEL32!TlsGetValue
   14     8 [  5]           sqldk!SOS_AutoAllowNonyield::~SOS_AutoAllowNonyield
    1     0 [  6]             KERNEL32!TlsGetValueStub
    7     0 [  6]             KERNEL32!TlsGetValue
   24    16 [  5]           sqldk!SOS_AutoAllowNonyield::~SOS_AutoAllowNonyield
    1     0 [  6]             KERNEL32!QueryPerformanceCounterStub
   24     0 [  6]             ntdll!RtlQueryPerformanceCounter
   58    41 [  5]           sqldk!SOS_AutoAllowNonyield::~SOS_AutoAllowNonyield
  153  5162 [  4]         sqllang!ErrorReportedAutoPublish::Publish
   16     0 [  5]           sqldk!CMemObj::Free
   52     0 [  6]             sqldk!TVarPageMgr<0>::Release
   19    52 [  5]           sqldk!CMemObj::Free
  166  5233 [  4]         sqllang!ErrorReportedAutoPublish::Publish
  709 16984 [  3]       sqllang!CErrorReportingManager::CwchFormatAndPrint
   22     0 [  4]         sqllang!CAutoP<CFormattedParams>::~CAutoP<CFormattedParams>
   16     0 [  4]         sqldk!CMemObj::Free
   13     0 [  5]           sqldk!TVarPageMgr<0>::Release
   31     0 [  6]             sqldk!CVariableInfo::PviRelease
   48    31 [  5]           sqldk!TVarPageMgr<0>::Release
    4     0 [  5]           sqldk!IMemObj::ReleasePages
    5     0 [  5]           sqldk!MemoryClerkInternal::FreePages
   46     0 [  6]             sqldk!MemoryClerkInternal::FreePagesInline
   17     0 [  6]             sqldk!PageAllocator::RecordPageFreeEvent
    7    63 [  5]           sqldk!MemoryClerkInternal::FreePages
   19   153 [  4]         sqldk!CMemObj::Free
  712 17178 [  3]       sqllang!CErrorReportingManager::CwchFormatAndPrint
    4     0 [  4]         sqllang!CAutoRg<unsigned short>::~CAutoRg<unsigned short>
  728 17182 [  3]       sqllang!CErrorReportingManager::CwchFormatAndPrint
   29 17912 [  2]     sqllang!ex_vcallprint
    7 17941 [  1]   sqllang!ex_callprint_error
   19 17948 [  0] sqllang!CUDXR_ExternalScript::HandleLogMessage
