    7     0 [  6]             sqllang!CSQLSatelliteCommunication::GetSQLSatelliteMessage
   27     7 [  5]           sqllang!CSQLSatelliteCommunication::BindReadSNIPacket
   27     0 [  6]             sqllang!CSQLSatelliteMessage::BindBufferForRead
   14     0 [  7]               sqllang!CSQLSatelliteMessage::FireXEvent
    6     0 [  8]                 sqllang!_security_check_cookie
   17     6 [  7]               sqllang!CSQLSatelliteMessage::FireXEvent
   52    23 [  6]             sqllang!CSQLSatelliteMessage::BindBufferForRead
   28     0 [  7]               sqllang!CSatelliteHub::LocateSatellite
    2     0 [  8]                 sqldk!SystemThread::GetCurrentId
   46     2 [  7]               sqllang!CSatelliteHub::LocateSatellite
    9     0 [  8]                 sqllang!CSatelliteHub::~CSatelliteHub
   71    11 [  7]               sqllang!CSatelliteHub::LocateSatellite
   60   105 [  6]             sqllang!CSQLSatelliteMessage::BindBufferForRead
   12     0 [  7]               sqllang!CAutoRefc<CSatelliteProxy>::~CAutoRefc<CSatelliteProxy>
   70   117 [  6]             sqllang!CSQLSatelliteMessage::BindBufferForRead
    6     0 [  7]               sqllang!_security_check_cookie
   75   123 [  6]             sqllang!CSQLSatelliteMessage::BindBufferForRead
   45   205 [  5]           sqllang!CSQLSatelliteCommunication::BindReadSNIPacket
   64   324 [  4]         sqllang!CServerCargoContext::ReadAllPackets
   14     0 [  5]           sqllang!CSQLSatelliteMessage::FireXEvent
    6     0 [  6]             sqllang!_security_check_cookie
   17     6 [  5]           sqllang!CSQLSatelliteMessage::FireXEvent
   70   347 [  4]         sqllang!CServerCargoContext::ReadAllPackets
   16     0 [  5]           sqllang!MessageTelemetry::Record
   94   363 [  4]         sqllang!CServerCargoContext::ReadAllPackets
   69   705 [  3]       sqllang!CServerCargoContext::ReadOutputArgumentsInternal
   24     0 [  4]         sqllang!CServerCargoContext::ReadOutputArgsFromPackets
   40     0 [  5]           sqldk!CMemProc::Alloc
   51    40 [  4]         sqllang!CServerCargoContext::ReadOutputArgsFromPackets
   27     0 [  5]           sqllang!CSQLSatelliteMessage::BindBufferForRead
   14     0 [  6]             sqllang!CSQLSatelliteMessage::FireXEvent
    6     0 [  7]               sqllang!_security_check_cookie
   17     6 [  6]             sqllang!CSQLSatelliteMessage::FireXEvent
   52    23 [  5]           sqllang!CSQLSatelliteMessage::BindBufferForRead
   28     0 [  6]             sqllang!CSatelliteHub::LocateSatellite
    2     0 [  7]               sqldk!SystemThread::GetCurrentId
   46     2 [  6]             sqllang!CSatelliteHub::LocateSatellite
    9     0 [  7]               sqllang!CSatelliteHub::~CSatelliteHub
   71    11 [  6]             sqllang!CSatelliteHub::LocateSatellite
   60   105 [  5]           sqllang!CSQLSatelliteMessage::BindBufferForRead
   12     0 [  6]             sqllang!CAutoRefc<CSatelliteProxy>::~CAutoRefc<CSatelliteProxy>
   70   117 [  5]           sqllang!CSQLSatelliteMessage::BindBufferForRead
    6     0 [  6]             sqllang!_security_check_cookie
   75   123 [  5]           sqllang!CSQLSatelliteMessage::BindBufferForRead
   59   238 [  4]         sqllang!CServerCargoContext::ReadOutputArgsFromPackets
   51     0 [  5]           sqllang!CSQLSatelliteMessageArgument::ReadPayload
   42     0 [  6]             sqldk!CMemProc::Alloc
   60    42 [  5]           sqllang!CSQLSatelliteMessageArgument::ReadPayload
    1     0 [  6]             sqllang!memset
   12     0 [  6]             MSVCR120!memset
    1     0 [  6]             MSVCR120!MsetTab
   75    56 [  5]           sqllang!CSQLSatelliteMessageArgument::ReadPayload
   40     0 [  6]             sqldk!CMemProc::Alloc
  108    96 [  5]           sqllang!CSQLSatelliteMessageArgument::ReadPayload
   73   442 [  4]         sqllang!CServerCargoContext::ReadOutputArgsFromPackets
   14     0 [  5]           sqllang!CSQLSatelliteMessage::FireXEvent
    6     0 [  6]             sqllang!_security_check_cookie
   17     6 [  5]           sqllang!CSQLSatelliteMessage::FireXEvent
   79   465 [  4]         sqllang!CServerCargoContext::ReadOutputArgsFromPackets
   16     0 [  5]           sqllang!MessageTelemetry::Record
  103   481 [  4]         sqllang!CServerCargoContext::ReadOutputArgsFromPackets
   10     0 [  5]           sqllang!CSQLSatelliteMessageArgument::~CSQLSatelliteMessageArgument
  116   491 [  4]         sqllang!CServerCargoContext::ReadOutputArgsFromPackets
   74  1312 [  3]       sqllang!CServerCargoContext::ReadOutputArgumentsInternal
