2018-11-02 13:53:41.0387 UTC [DEBUG   ] [RequestId f1f2aca2-217d-44dc-8e21-e475457cc3cd] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:53:41.0388 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:53:41.0405 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:53:41.0406 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:53:46.0407 UTC [DEBUG   ] [RequestId 8d8652c1-875f-4b9c-98bb-817a1d2ffd99] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:53:46.0408 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:53:46.0422 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:53:46.0423 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:53:51.0424 UTC [DEBUG   ] [RequestId 6d40d99c-9c20-45cf-b9a6-1be84ecbc75c] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:53:51.0427 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:53:51.0442 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:53:51.0444 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:53:56.0445 UTC [DEBUG   ] [RequestId 734238f2-1ba8-4e63-ae47-d0aa9c313030] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:53:56.0446 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:53:56.0485 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:53:56.0486 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:54:01.0487 UTC [DEBUG   ] [RequestId 666d4bbe-a03f-47f4-8a32-c35c4bc26f69] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:54:01.0488 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:54:01.0500 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:54:01.0501 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:54:06.0502 UTC [DEBUG   ] [RequestId bf2ebb03-4542-42d8-ae3f-ce97883fd9b3] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:54:06.0503 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:54:06.0516 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:54:06.0517 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:54:11.0517 UTC [DEBUG   ] [RequestId c371c58e-5bf5-45eb-a515-0d162d163fad] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:54:11.0518 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:54:11.0531 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:54:11.0532 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:54:16.0533 UTC [DEBUG   ] [RequestId 30aed2a4-ea1b-473b-b382-880e64b8041c] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:54:16.0534 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:54:16.0548 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:54:16.0549 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:54:21.0549 UTC [DEBUG   ] [RequestId 3f58cf66-d295-4e7a-9940-04449dd5f5db] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:54:21.0550 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:54:21.0563 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:54:21.0564 UTC [INFO    ] Waiting for controller to be ready...
